data,id_tempo,ano,mes,nome_mes,trimestre,ano_mes,semana_ano,ano_semana_iso,semana_iso,mes_dia,dia_semana,dia_do_mes,ano_mes_id
2020-01-01,1,2020,1,janeiro,1º trimestre,janeiro de 2020,1,01 de janeiro de 2020 a 01 de janeiro de 2020 (semana 1),Semana 1,01 de janeiro,quarta-feira,1,1
2020-01-02,2,2020,1,janeiro,1º trimestre,janeiro de 2020,1,02 de janeiro de 2020 a 02 de janeiro de 2020 (semana 1),Semana 1,02 de janeiro,quinta-feira,2,1
2020-01-03,3,2020,1,janeiro,1º trimestre,janeiro de 2020,1,03 de janeiro de 2020 a 03 de janeiro de 2020 (semana 1),Semana 1,03 de janeiro,sexta-feira,3,1
2020-01-04,4,2020,1,janeiro,1º trimestre,janeiro de 2020,1,04 de janeiro de 2020 a 04 de janeiro de 2020 (semana 1),Semana 1,04 de janeiro,sábado,4,1
2020-01-05,5,2020,1,janeiro,1º trimestre,janeiro de 2020,1,05 de janeiro de 2020 a 05 de janeiro de 2020 (semana 1),Semana 1,05 de janeiro,domingo,5,1
2020-01-06,6,2020,1,janeiro,1º trimestre,janeiro de 2020,2,06 de janeiro de 2020 a 06 de janeiro de 2020 (semana 2),Semana 2,06 de janeiro,segunda-feira,6,1
2020-01-07,7,2020,1,janeiro,1º trimestre,janeiro de 2020,2,07 de janeiro de 2020 a 07 de janeiro de 2020 (semana 2),Semana 2,07 de janeiro,terça-feira,7,1
2020-01-08,8,2020,1,janeiro,1º trimestre,janeiro de 2020,2,08 de janeiro de 2020 a 08 de janeiro de 2020 (semana 2),Semana 2,08 de janeiro,quarta-feira,8,1
2020-01-09,9,2020,1,janeiro,1º trimestre,janeiro de 2020,2,09 de janeiro de 2020 a 09 de janeiro de 2020 (semana 2),Semana 2,09 de janeiro,quinta-feira,9,1
2020-01-10,10,2020,1,janeiro,1º trimestre,janeiro de 2020,2,10 de janeiro de 2020 a 10 de janeiro de 2020 (semana 2),Semana 2,10 de janeiro,sexta-feira,10,1
2020-01-11,11,2020,1,janeiro,1º trimestre,janeiro de 2020,2,11 de janeiro de 2020 a 11 de janeiro de 2020 (semana 2),Semana 2,11 de janeiro,sábado,11,1
2020-01-12,12,2020,1,janeiro,1º trimestre,janeiro de 2020,2,12 de janeiro de 2020 a 12 de janeiro de 2020 (semana 2),Semana 2,12 de janeiro,domingo,12,1
2020-01-13,13,2020,1,janeiro,1º trimestre,janeiro de 2020,3,13 de janeiro de 2020 a 13 de janeiro de 2020 (semana 3),Semana 3,13 de janeiro,segunda-feira,13,1
